CRIAÇÃO DECRETO;Migração;true
MINUTA DECRETO;Migração;true
CRIACAO DELEGACIA;Migração;true
CRIACAO ESTATUTO;Migração;true
DESIGNAÇÃO AREA;Migração;true
ENCERRAMENTO DE EXERCÍCIO;Migração;true
DANO BEM PUBLICO;Migração;true
DECLARACAO UTILIDADE PUBLICA;Migração;true
DEMARCAÇÃO DE  ÁREA;Migração;true
NOTIFICAÇÃO;Migração;true
DENÚNCIA ;Migração;true
RECOLHIMENTO TAXA;Migração;true
SOLICITA CERCAMENTO DE ÁREA;Migração;true
DESAPROPRIAÇÃO ÁREA;Migração;true
EMISSAO NOTA EMPENHO;Migração;true
DESCONTO CONTRIBUICAO SINDICAL;Migração;true
DESPESA HOSPEDAGEM;Migração;true
DESTINACAO AREA;Migração;true
ENCAMINHA INFORMAÇÕES;Migração;true
DESTINAÇÃO AREA ASSENTAMENTO;Migração;true
DEMISSAO DE SERVIDOR;Migração;true
DIREITO USO AREA;Migração;true
SUSPENSÃO DEMOLIÇÃO;Migração;true
DOACAO AREA;Migração;true
SOLICITA SEGUNDA VIA DE DOCUMENTO;Migração;true
DOTACAO ORCAMENTARIA;Migração;true
EMBARGO CONSTRUCAO;Migração;true
EMPRESTIMO BEM PUBLICO;Migração;true
EMPRESTIMO CAPITAL SOCIAL;Migração;true
RECOLHIMENTO DE GUIAS;Migração;true
FALTA INJUSTIFICADA;Migração;true
FECHAMENTO AREA;Migração;true
FINANCEAMENTO CASA PROPRIA;Migração;true
FISCALIZACAO OBRA;Migração;true
FOLHA PAGAMENTO;Migração;true
FOLHA PAGAMENTO PENSAO;Migração;true
FOLHA PAGAMENTO SUPLEMENTAR;Migração;true
FUNCIONAMENTO ESTABELECIMENTO;Migração;true
GRATIFICACAO FUNCAO;Migração;true
GRATIFICACAO GABINETE;Migração;true
APREENSAO DOCUMENTO;Migração;true
GRATIFICACAO NATALINA;Migração;true
GRATIFICACAO PRODUTIVIDADE;Migração;true
GUIA RECOLHIMENTO;Migração;true
GRATIFICACAO RISCO;Migração;true
HABEAS CORPUS;Migração;true
HORA EXTRA;Migração;true
INCENTIVO ESPORTE;Migração;true
INCLUSÃO DEPENDENTE;Migração;true
INCORPORACAO GRATIFICACAO;Migração;true
INDENIZACAO AREA;Migração;true
TRANFERENCIA DE DOCUMENTO;Migração;true
INSTALACAO BEM PUBLICO;Migração;true
APOIO ADMINISTRATIVO;Migração;true
ANULACAO PROVA;Migração;true
INSUBORDINACAO SERVIDOR;Migração;true
INVASAO AREA PUBLICA;Migração;true
JORNADA TRABALHO;Migração;true
LIBERACAO ALVARA CONSTRUCAO;Migração;true
LIBERACAO ;Migração;true
LIBERACAO CAPITAL SOCIAL;Migração;true
LIBERACAO COTA;Migração;true
LEGALIZAÇÃO AREA;Migração;true
LIBERACAO ALVARA FUNCIONAMENTO;Migração;true
LIBERACAO ALVARA LEVANTAMENTO;Migração;true
LIBERACAO AREA;Migração;true
LIBERACAO ATIVIDADE COMERCIAL;Migração;true
LIBERACAO BANCA FEIRA;Migração;true
LIBERACAO ATIVIDADE ELEITORAL;Migração;true
LIBERACAO BANCA JORNAL;Migração;true
LIBERACAO CODIGO;Migração;true
LIBERACAO CONTRATO SOCIAL;Migração;true
LIBERACAO FGTS;Migração;true
LIBERACAO ATIVIDADE POLUIDORA;Migração;true
MANUTENCAO AR CONDICIONADO;Migração;true
MANUTENCAO FERRAGENS;Migração;true
AÇÕES GOVERNAMENTAIS;Migração;true
OPCAO CARGO;Migração;true
LIBERACAO DE RECURSOS;Migração;true
PAGAMENTO DIVIDA ATIVA;Migração;true
PAGAMENTO PRESTAÇÃO;Migração;true
PAGAMENTO INSCRICAO CURSO;Migração;true
ALTERACAO ANTEPROJETO LEI;Migração;true
PARCELAMENTO AREA;Migração;true
PARTICIPACAO DE CURSO;Migração;true
PROMOCAO EVENTO;Migração;true
PRORROGACAO DE FERIAS;Migração;true
PUBLICACAO EDITAL;Migração;true
READMISSAO FUNCAO;Migração;true
RECOLHIMENTO DIVIDA;Migração;true
ANUÁRIO ESTÁTISTICO;Migração;true
REGULARIZACAO AREA;Migração;true
CARTEIRA IMOBILIARIA;Migração;true
REGULARIZACAO DE CONDOMINIO;Migração;true
RETIFICAR;Migração;true
RELACAO DESCONTO;Migração;true
RELACAO DESCONTO FGTS;Migração;true
RELACAO DESCONTO INSS;Migração;true
RELACAO DESCONTO IR;Migração;true
ALTERACAO CONTRATO;Migração;true
COMUNICA PADRONIZAÇÃO DE POSTAGEM;Migração;true
RENOVACAO CONTRATO SOCIAL;Migração;true
ABERTURA RELATORIO;Migração;true
COMUNICA FATOS;Migração;true
RESCISAO CONTRATO TRABALHO;Migração;true
AVERBAÇÃO DE RESERVA LEGAL;Migração;true
SOLICITAÇÃO DE VISTORIA;Migração;true
SOLICITAÇÃO DE ADOÇÃO;Migração;true
SUPRIMENTO FUNDO;Migração;true
EXECUCAO DE SERVICOS EXTRAS;Migração;true
TRANSFERENCIA AREA;Migração;true
INDICAÇÃO DE SERVIDOR;Migração;true
PESQUISA;Migração;true
TRANSFERENCIA DELEGACIA;Migração;true
TRANSPOSICAO DE CARGO;Migração;true
DPF;Migração;true
UTILIZACAO DE GABARITO;Migração;true
UTILIZACAO ABATEDOURO;Migração;true
ABERTURA LICITACAO;Migração;true
ABERTURA LICITACAO CONVITE;Migração;true
REFORMULAÇÃO DE AREA;Migração;true
ABERTURA SINDICANCIA;Migração;true
ABERTURA TOMADA CONTA;Migração;true
ABERTURA TOMADA PRECO;Migração;true
IMPLANTAÇÃO DE PROJETO;Migração;true
ACESSO VIA PÚBLICA;Migração;true
PROJETO DE OCUPAÇÃO DE AREA;Migração;true
ACRESCIMO PERCENTUAL PENSAO;Migração;true
ADICIONAL DE INSALUBRIDADE;Migração;true
ADICIONAL NOTURNO;Migração;true
AFASTAMENO PAIS;Migração;true
AGREGACAO OFICIAL MILITAR;Migração;true
